location,date,cases,deaths
India,2019-12-31,0,0
India,2020-01-01,0,0
India,2020-01-02,0,0
India,2020-01-03,0,0
India,2020-01-04,0,0
India,2020-01-05,0,0
India,2020-01-06,0,0
India,2020-01-07,0,0
India,2020-01-08,0,0
India,2020-01-09,0,0
India,2020-01-10,0,0
India,2020-01-11,0,0
India,2020-01-12,0,0
India,2020-01-13,0,0
India,2020-01-14,0,0
India,2020-01-15,0,0
India,2020-01-16,0,0
India,2020-01-17,0,0
India,2020-01-18,0,0
India,2020-01-19,0,0
India,2020-01-20,0,0
India,2020-01-21,0,0
India,2020-01-22,0,0
India,2020-01-23,0,0
India,2020-01-24,0,0
India,2020-01-25,0,0
India,2020-01-26,0,0
India,2020-01-27,0,0
India,2020-01-28,0,0
India,2020-01-29,0,0
India,2020-01-30,1,0
India,2020-01-31,0,0
India,2020-02-01,0,0
India,2020-02-02,1,0
India,2020-02-03,0,0
India,2020-02-04,1,0
India,2020-02-05,0,0
India,2020-02-06,0,0
India,2020-02-07,0,0
India,2020-02-08,0,0
India,2020-02-09,0,0
India,2020-02-10,0,0
India,2020-02-11,0,0
India,2020-02-12,0,0
India,2020-02-13,0,0
India,2020-02-14,0,0
India,2020-02-15,0,0
India,2020-02-16,0,0
India,2020-02-17,0,0
India,2020-02-18,0,0
India,2020-02-19,0,0
India,2020-02-20,0,0
India,2020-02-21,0,0
India,2020-02-22,0,0
India,2020-02-23,0,0
India,2020-02-24,0,0
India,2020-02-25,0,0
India,2020-02-26,0,0
India,2020-02-27,0,0
India,2020-02-28,0,0
India,2020-02-29,0,0
India,2020-03-01,0,0
India,2020-03-02,0,0
India,2020-03-03,2,0
India,2020-03-04,1,0
India,2020-03-05,22,0
India,2020-03-06,1,0
India,2020-03-07,2,0
India,2020-03-08,3,0
India,2020-03-09,,
India,2020-03-10,10,0
India,2020-03-11,6,0
India,2020-03-12,23,0
India,2020-03-13,2,1
India,2020-03-14,8,1
India,2020-03-15,7,0
India,2020-03-16,3,0
India,2020-03-17,32,1
India,2020-03-18,12,0
India,2020-03-19,28,0
India,2020-03-20,26,1
India,2020-03-21,40,0
India,2020-03-22,89,0
India,2020-03-23,119,3
India,2020-03-24,53,2
India,2020-03-25,70,0
India,2020-03-26,87,4
India,2020-03-27,75,4
India,2020-03-28,149,2
India,2020-03-29,106,6
India,2020-03-30,92,4
India,2020-03-31,180,3
India,2020-04-01,146,3
India,2020-04-02,568,15
India,2020-04-03,336,6
India,2020-04-04,601,12
India,2020-04-05,472,9
India,2020-04-06,693,32
India,2020-04-07,354,5
India,2020-04-08,773,35
India,2020-04-09,540,17
India,2020-04-10,678,33
India,2020-04-11,1035,40
India,2020-04-12,909,34
India,2020-04-13,796,35
India,2020-04-14,1211,31
India,2020-04-15,1075,38
India,2020-04-16,942,37
India,2020-04-17,1007,23
India,2020-04-18,991,43
India,2020-04-19,1334,27
India,2020-04-20,1553,36
India,2020-04-21,1335,47
India,2020-04-22,1384,50
India,2020-04-23,1409,41
India,2020-04-24,1684,37
India,2020-04-25,1429,57
India,2020-04-26,1990,49
India,2020-04-27,1396,48
India,2020-04-28,1543,62
India,2020-04-29,1897,73
India,2020-04-30,1718,67
India,2020-05-01,1993,73
India,2020-05-02,2293,71
India,2020-05-03,2644,83
India,2020-05-04,2553,72
India,2020-05-05,3900,195
India,2020-05-06,2958,126
India,2020-05-07,3561,89
India,2020-05-08,3390,103
India,2020-05-09,3320,95
India,2020-05-10,3277,128
India,2020-05-11,4213,97
India,2020-05-12,3604,87
India,2020-05-13,3525,122
India,2020-05-14,3722,134
India,2020-05-15,3967,100
India,2020-05-16,3970,103
India,2020-05-17,4987,120
India,2020-05-18,5242,157
India,2020-05-19,4970,134
India,2020-05-20,5611,140
India,2020-05-21,5609,132
India,2020-05-22,6088,148
India,2020-05-23,6654,137
India,2020-05-24,6767,147
India,2020-05-25,6977,154
India,2020-05-26,6535,146
India,2020-05-27,6387,170
India,2020-05-28,6566,194
India,2020-05-29,7466,175
India,2020-05-30,7964,265
India,2020-05-31,8380,193
India,2020-06-01,8392,230
India,2020-06-02,8171,204
India,2020-06-03,8909,217
India,2020-06-04,9304,260
India,2020-06-05,9851,273
India,2020-06-06,9887,294
India,2020-06-07,9971,287
India,2020-06-08,9983,206
India,2020-06-09,9987,331
India,2020-06-10,9985,279
India,2020-06-11,9996,357
India,2020-06-12,10956,396
India,2020-06-13,11458,386
India,2020-06-14,11929,311
India,2020-06-15,11502,325
India,2020-06-16,10667,380
India,2020-06-17,10974,2003
India,2020-06-18,12881,334
India,2020-06-19,13586,336
India,2020-06-20,14516,375
India,2020-06-21,15413,306
India,2020-06-22,14821,445
India,2020-06-23,14933,312
India,2020-06-24,15968,465
India,2020-06-25,16922,418
India,2020-06-26,17296,407
India,2020-06-27,18552,384
India,2020-06-28,19906,410
India,2020-06-29,19459,380
India,2020-06-30,18522,418
India,2020-07-01,18653,507
India,2020-07-02,19148,434
India,2020-07-03,20903,379
India,2020-07-04,22771,442
India,2020-07-05,24850,613
India,2020-07-06,24248,425
India,2020-07-07,22252,467
India,2020-07-08,22752,482
India,2020-07-09,24879,487
India,2020-07-10,26506,475
India,2020-07-11,27114,519
India,2020-07-12,28637,551
India,2020-07-13,28701,500
India,2020-07-14,28498,553
India,2020-07-15,29429,582
India,2020-07-16,32695,606
India,2020-07-17,34956,687
India,2020-07-18,34884,671
India,2020-07-19,38902,543
India,2020-07-20,40425,681
India,2020-07-21,37148,587
India,2020-07-22,37724,648
India,2020-07-23,45720,1129
India,2020-07-24,49310,740
India,2020-07-25,48916,757
India,2020-07-26,48661,705
India,2020-07-27,49931,708
India,2020-07-28,47703,654
India,2020-07-29,48513,768
India,2020-07-30,52123,775
India,2020-07-31,55078,779
India,2020-08-01,57118,764
India,2020-08-02,54735,853
India,2020-08-03,52972,771
India,2020-08-04,52050,803
India,2020-08-05,52509,857
India,2020-08-06,56282,904
India,2020-08-07,62538,886
India,2020-08-08,61537,933
India,2020-08-09,64399,861
India,2020-08-10,62064,1007
India,2020-08-11,53601,871
India,2020-08-12,60963,834
India,2020-08-13,66999,942
India,2020-08-14,64553,1007
India,2020-08-15,65002,996
India,2020-08-16,63490,944
India,2020-08-17,57981,941
India,2020-08-18,55079,876
India,2020-08-19,64531,1092
India,2020-08-20,69652,977
India,2020-08-21,68898,983
India,2020-08-22,69878,945
India,2020-08-23,69239,912
India,2020-08-24,61408,836
India,2020-08-25,60975,848
India,2020-08-26,67151,1059
India,2020-08-27,75760,1023
