iso3n,name,age,mx
4,Afghanistan,0,0.0118316320206745
4,Afghanistan,5,0.00108236211740329
4,Afghanistan,10,0.000859803082315395
4,Afghanistan,15,0.00142822718410593
4,Afghanistan,20,0.00200278431773998
4,Afghanistan,25,0.00217703969162309
4,Afghanistan,30,0.00250081706263805
4,Afghanistan,35,0.00314634225709997
4,Afghanistan,40,0.00425129596622596
4,Afghanistan,45,0.00614543061969882
4,Afghanistan,50,0.00916202678400806
4,Afghanistan,55,0.0138910584314742
4,Afghanistan,60,0.0215422758383644
4,Afghanistan,65,0.0339413121790173
4,Afghanistan,70,0.0547583364913307
4,Afghanistan,75,0.0884118885395355
4,Afghanistan,80,0.142456262938252
4,Afghanistan,85,0.221591547321262
4,Afghanistan,90,0.324053396367293
4,Afghanistan,95,0.450312171996085
4,Afghanistan,100,0.588461571449702
8,Albania,0,0.00206329195356103
8,Albania,5,0.000204010875320388
8,Albania,10,0.000246175031744001
8,Albania,15,0.00034341013127435
8,Albania,20,0.000393250624230505
8,Albania,25,0.000448268840718645
8,Albania,30,0.000578170016056475
8,Albania,35,0.000964328819261078
8,Albania,40,0.00133682375831982
8,Albania,45,0.00209249833031897
8,Albania,50,0.00317143883881809
8,Albania,55,0.00485677003212276
8,Albania,60,0.0075904457102793
8,Albania,65,0.0128144971930023
8,Albania,70,0.0231015032959948
8,Albania,75,0.044246137039737
8,Albania,80,0.0895498349006266
8,Albania,85,0.156410242300578
8,Albania,90,0.257254277910296
8,Albania,95,0.401579141958994
8,Albania,100,0.585072972972198
12,Algeria,0,0.00434288069442738
12,Algeria,5,0.000396555469680397
12,Algeria,10,0.000357465910604082
12,Algeria,15,0.000518408754441369
12,Algeria,20,0.000681591131799603
12,Algeria,25,0.000811803704096911
12,Algeria,30,0.000963960207838686
12,Algeria,35,0.00129753381318521
12,Algeria,40,0.00176124845336378
12,Algeria,45,0.00257883941238667
12,Algeria,50,0.00381861539673967
12,Algeria,55,0.0057907119729304
12,Algeria,60,0.00922732916706567
12,Algeria,65,0.0142052924678821
12,Algeria,70,0.0238306146822006
12,Algeria,75,0.0423610928939957
12,Algeria,80,0.0760637496175298
12,Algeria,85,0.130225350054845
12,Algeria,90,0.207901384940554
12,Algeria,95,0.307720513078979
12,Algeria,100,0.454577310006308
24,Angola,0,0.0147656477954595
24,Angola,5,0.00165317094451836
24,Angola,10,0.00120694602807496
24,Angola,15,0.00204293650351478
24,Angola,20,0.00287317992668683
24,Angola,25,0.00319281631432086
24,Angola,30,0.00372370164974446
24,Angola,35,0.00468867940154691
24,Angola,40,0.00613015790881634
24,Angola,45,0.00837081450176371
24,Angola,50,0.0119496714718254
24,Angola,55,0.0172442865133985
24,Angola,60,0.0262832001742594
24,Angola,65,0.0402414436905113
24,Angola,70,0.0634584551813919
24,Angola,75,0.0997092759479597
24,Angola,80,0.153168822090305
24,Angola,85,0.228351441530901
24,Angola,90,0.322802514928212
24,Angola,95,0.443503039789049
24,Angola,100,0.574597602680483
28,Antigua and Barbuda,0,0.0012893397829199
28,Antigua and Barbuda,5,0.000173497983307357
28,Antigua and Barbuda,10,0.000185387952715507
28,Antigua and Barbuda,15,0.000523020376125057
28,Antigua and Barbuda,20,0.000709208732191306
28,Antigua and Barbuda,25,0.000732890682996805
28,Antigua and Barbuda,30,0.000887357905673748
28,Antigua and Barbuda,35,0.00123623449216682
28,Antigua and Barbuda,40,0.00188544956779859
28,Antigua and Barbuda,45,0.002997856366543
28,Antigua and Barbuda,50,0.00476957734067019
28,Antigua and Barbuda,55,0.00748340249500831
28,Antigua and Barbuda,60,0.0113840535670664
28,Antigua and Barbuda,65,0.0175034062597754
28,Antigua and Barbuda,70,0.0284417770246429
28,Antigua and Barbuda,75,0.0482636861558492
28,Antigua and Barbuda,80,0.083169092398312
28,Antigua and Barbuda,85,0.141553201999728
28,Antigua and Barbuda,90,0.235278561035382
28,Antigua and Barbuda,95,0.367373031983603
28,Antigua and Barbuda,100,0.53885598311675
31,Azerbaijan,0,0.00460455162319771
31,Azerbaijan,5,0.000347845999506771
31,Azerbaijan,10,0.00029934932169612
31,Azerbaijan,15,0.000617843049884986
31,Azerbaijan,20,0.000785241161114737
31,Azerbaijan,25,0.000806277287991926
31,Azerbaijan,30,0.000972035643801901
31,Azerbaijan,35,0.00136426673090975
