location,date,context,change
India,2020-02-15,retail_and_recreation,0.01
India,2020-02-16,retail_and_recreation,0.02
India,2020-02-17,retail_and_recreation,-0.01
India,2020-02-18,retail_and_recreation,0
India,2020-02-19,retail_and_recreation,0
India,2020-02-20,retail_and_recreation,0.01
India,2020-02-21,retail_and_recreation,-0.04
India,2020-02-22,retail_and_recreation,-0.02
India,2020-02-23,retail_and_recreation,-0.02
India,2020-02-24,retail_and_recreation,-0.01
India,2020-02-25,retail_and_recreation,-0.01
India,2020-02-26,retail_and_recreation,0
India,2020-02-27,retail_and_recreation,-0.01
India,2020-02-28,retail_and_recreation,0
India,2020-02-29,retail_and_recreation,-0.02
India,2020-03-01,retail_and_recreation,0.01
India,2020-03-02,retail_and_recreation,0
India,2020-03-03,retail_and_recreation,-0.01
India,2020-03-04,retail_and_recreation,0
India,2020-03-05,retail_and_recreation,-0.01
India,2020-03-06,retail_and_recreation,-0.01
India,2020-03-07,retail_and_recreation,0
India,2020-03-08,retail_and_recreation,0.02
India,2020-03-09,retail_and_recreation,-0.01
India,2020-03-10,retail_and_recreation,-0.19
India,2020-03-11,retail_and_recreation,-0.05
India,2020-03-12,retail_and_recreation,-0.03
India,2020-03-13,retail_and_recreation,-0.05
India,2020-03-14,retail_and_recreation,-0.11
India,2020-03-15,retail_and_recreation,-0.11
India,2020-03-16,retail_and_recreation,-0.08
India,2020-03-17,retail_and_recreation,-0.11
India,2020-03-18,retail_and_recreation,-0.12
India,2020-03-19,retail_and_recreation,-0.16
India,2020-03-20,retail_and_recreation,-0.22
India,2020-03-21,retail_and_recreation,-0.34
India,2020-03-22,retail_and_recreation,-0.78
India,2020-03-23,retail_and_recreation,-0.54
India,2020-03-24,retail_and_recreation,-0.68
India,2020-03-25,retail_and_recreation,-0.77
India,2020-03-26,retail_and_recreation,-0.76
India,2020-03-27,retail_and_recreation,-0.77
India,2020-03-28,retail_and_recreation,-0.78
India,2020-03-29,retail_and_recreation,-0.77
India,2020-03-30,retail_and_recreation,-0.76
India,2020-03-31,retail_and_recreation,-0.75
India,2020-04-01,retail_and_recreation,-0.76
India,2020-04-02,retail_and_recreation,-0.76
India,2020-04-03,retail_and_recreation,-0.76
India,2020-04-04,retail_and_recreation,-0.77
India,2020-04-05,retail_and_recreation,-0.77
India,2020-04-06,retail_and_recreation,-0.76
India,2020-04-07,retail_and_recreation,-0.78
India,2020-04-08,retail_and_recreation,-0.78
India,2020-04-09,retail_and_recreation,-0.78
India,2020-04-10,retail_and_recreation,-0.79
India,2020-04-11,retail_and_recreation,-0.8
India,2020-04-12,retail_and_recreation,-0.79
India,2020-04-13,retail_and_recreation,-0.78
India,2020-04-14,retail_and_recreation,-0.78
India,2020-04-15,retail_and_recreation,-0.78
India,2020-04-16,retail_and_recreation,-0.85
India,2020-04-17,retail_and_recreation,-0.85
India,2020-04-18,retail_and_recreation,-0.87
India,2020-04-19,retail_and_recreation,-0.86
India,2020-04-20,retail_and_recreation,-0.86
India,2020-04-21,retail_and_recreation,-0.85
India,2020-04-22,retail_and_recreation,-0.86
India,2020-04-23,retail_and_recreation,-0.86
India,2020-04-24,retail_and_recreation,-0.85
India,2020-04-25,retail_and_recreation,-0.86
India,2020-04-26,retail_and_recreation,-0.86
India,2020-04-27,retail_and_recreation,-0.85
India,2020-04-28,retail_and_recreation,-0.85
India,2020-04-29,retail_and_recreation,-0.85
India,2020-04-30,retail_and_recreation,-0.84
India,2020-05-01,retail_and_recreation,-0.85
India,2020-05-02,retail_and_recreation,-0.85
India,2020-05-03,retail_and_recreation,-0.85
India,2020-05-04,retail_and_recreation,-0.81
India,2020-05-05,retail_and_recreation,-0.81
India,2020-05-06,retail_and_recreation,-0.79
India,2020-05-07,retail_and_recreation,-0.79
India,2020-05-08,retail_and_recreation,-0.79
India,2020-05-09,retail_and_recreation,-0.8
India,2020-05-10,retail_and_recreation,-0.82
India,2020-05-11,retail_and_recreation,-0.78
India,2020-05-12,retail_and_recreation,-0.78
India,2020-05-13,retail_and_recreation,-0.77
India,2020-05-14,retail_and_recreation,-0.77
India,2020-05-15,retail_and_recreation,-0.76
