location,date,cases,deaths
Sindh,2020-04-29,,
Sindh,2020-04-30,358,12
Sindh,2020-05-01,622,6
Sindh,2020-05-02,427,4
Sindh,2020-05-03,363,8
Sindh,2020-05-04,417,7
Sindh,2020-05-05,307,11
Sindh,2020-05-06,451,9
Sindh,2020-05-07,453,14
Sindh,2020-05-08,598,4
Sindh,2020-05-09,1080,5
Sindh,2020-05-10,709,9
Sindh,2020-05-11,537,11
Sindh,2020-05-12,593,18
Sindh,2020-05-13,731,16
Sindh,2020-05-14,758,9
Sindh,2020-05-15,817,12
Sindh,2020-05-16,674,13
Sindh,2020-05-17,787,9
Sindh,2020-05-18,864,3
Sindh,2020-05-19,706,19
Sindh,2020-05-20,1017,17
Sindh,2020-05-21,960,20
Sindh,2020-05-22,959,4
Sindh,2020-05-23,762,14
Sindh,2020-05-24,846,13
Sindh,2020-05-25,443,2
Sindh,2020-05-26,573,5
Sindh,2020-05-27,699,6
Sindh,2020-05-28,1103,16
Sindh,2020-05-29,804,31
Sindh,2020-05-30,1247,38
Sindh,2020-05-31,885,16
Sindh,2020-06-01,1402,22
Sindh,2020-06-02,1439,23
Sindh,2020-06-03,783,29
Sindh,2020-06-04,1667,20
Sindh,2020-06-05,1353,40
Sindh,2020-06-06,1475,19
Sindh,2020-06-07,1744,16
Sindh,2020-06-08,1447,29
Sindh,2020-06-09,1748,17
Sindh,2020-06-10,2487,42
Sindh,2020-06-11,3038,38
Sindh,2020-06-12,2428,17
Sindh,2020-06-13,2262,23
Sindh,2020-06-14,2287,15
Sindh,2020-06-15,1776,22
Sindh,2020-06-16,2287,33
Sindh,2020-06-17,2115,30
Sindh,2020-06-18,2286,48
Sindh,2020-06-19,2894,49
Sindh,2020-06-20,2190,35
Sindh,2020-06-21,2275,41
Sindh,2020-06-22,1464,14
Sindh,2020-06-23,1564,21
Sindh,2020-06-24,1414,37
Sindh,2020-06-25,1098,17
Sindh,2020-06-26,1150,27
Sindh,2020-06-27,1949,38
Sindh,2020-06-28,2179,45
Sindh,2020-06-29,1539,55
Sindh,2020-06-30,2655,34
Sindh,2020-07-01,2155,29
Sindh,2020-07-02,2430,31
Sindh,2020-07-03,1496,22
Sindh,2020-07-04,1585,42
Sindh,2020-07-05,2222,25
Sindh,2020-07-06,1708,46
Sindh,2020-07-07,1390,42
Sindh,2020-07-08,1736,23
Sindh,2020-07-09,1538,40
Sindh,2020-07-10,1468,36
Sindh,2020-07-11,1452,34
Sindh,2020-07-12,1713,48
Sindh,2020-07-13,1089,31
Sindh,2020-07-14,1151,37
Sindh,2020-07-15,1140,25
Sindh,2020-07-16,1155,34
Sindh,2020-07-17,1170,30
Sindh,2020-07-18,880,22
Sindh,2020-07-19,889,19
Sindh,2020-07-20,546,26
Sindh,2020-07-21,551,22
Sindh,2020-07-22,1109,19
Sindh,2020-07-23,670,36
Sindh,2020-07-24,917,14
Sindh,2020-07-25,798,25
Sindh,2020-07-26,713,16
Sindh,2020-07-27,513,11
Sindh,2020-07-28,574,10
Sindh,2020-07-29,654,17
Sindh,2020-07-30,498,20
Sindh,2020-07-31,489,11
Sindh,2020-08-01,270,3
Sindh,2020-08-02,177,1
Sindh,2020-08-03,219,2
Sindh,2020-08-04,311,5
Sindh,2020-08-05,357,14
Sindh,2020-08-06,386,5
Sindh,2020-08-07,487,9
Sindh,2020-08-08,300,3
Sindh,2020-08-09,303,10
Sindh,2020-08-10,278,10
Sindh,2020-08-11,429,8
Sindh,2020-08-12,373,7
Sindh,2020-08-13,360,10
Sindh,2020-08-14,343,6
Sindh,2020-08-15,272,4
Sindh,2020-08-16,278,5
Sindh,2020-08-17,243,9
Sindh,2020-08-18,318,5
Sindh,2020-08-19,317,7
Sindh,2020-08-20,321,7
Sindh,2020-08-21,310,7
Sindh,2020-08-22,274,1
Sindh,2020-08-23,319,9
Sindh,2020-08-24,172,6
Sindh,2020-08-25,220,11
Sindh,2020-08-26,201,4
Sindh,2020-08-27,204,6
Sindh,2020-08-28,98,1
Sindh,2020-08-29,89,3
Sindh,2020-08-30,80,3
Sindh,2020-08-31,121,2
Sindh,2020-09-01,146,6
Sindh,2020-09-02,212,6
Sindh,2020-09-03,214,5
Sindh,2020-09-04,212,2
Sindh,2020-09-05,230,0
Sindh,2020-09-06,188,1
